postcode,city,state,source,last_update
25050,jalan tengku muhamad,pahang,wikipedia,
25100,kuantan,pahang,wikipedia,
25150,inderapura,pahang,wikipedia,
25200,bandar indera mahkota,pahang,wikipedia,
25250,alor akar,pahang,wikipedia,
25300,kuantan,pahang,wikipedia,
25350,kuantan,pahang,wikipedia,
26010,kuantan,pahang,wikipedia,
26040,kuantan,pahang,wikipedia,
26050,bukit goh,pahang,wikipedia,
26060,kuantan,pahang,wikipedia,
26070,kuantan,pahang,wikipedia,
26080,balok,pahang,wikipedia,
26090,bukit goh,pahang,wikipedia,
26100,balok,pahang,wikipedia,
26140,kuantan,pahang,wikipedia,
26150,balok,pahang,wikipedia,
26180,kuantan,pahang,wikipedia,
26190,balok,pahang,wikipedia,
26200,sungai lembing,pahang,wikipedia,
26250,jaya gading,pahang,wikipedia,
26300,gambang,pahang,wikipedia,
26400,bandar pusat jengka,pahang,wikipedia,
26410,bandar pusat jengka,pahang,wikipedia,
26420,bandar pusat jengka,pahang,wikipedia,
26430,bandar pusat jengka,pahang,wikipedia,
26440,bandar pusat jengka,pahang,wikipedia,
26450,bandar pusat jengka,pahang,wikipedia,
26460,bandar pusat jengka,pahang,wikipedia,
26500,maran,pahang,wikipedia,
26600,pekan,pahang,wikipedia,
26610,pekan,pahang,wikipedia,
26620,pekan,pahang,wikipedia,
26630,pekan,pahang,wikipedia,
26640,pekan,pahang,wikipedia,
26650,pekan,pahang,wikipedia,
26660,pekan,pahang,wikipedia,
26680,pekan,pahang,wikipedia,
26690,chini,pahang,wikipedia,
26700,muadzam shah,pahang,wikipedia,
26800,kuala rompin,pahang,wikipedia,
26810,kuala rompin,pahang,wikipedia,
26820,kuala rompin,pahang,wikipedia,
26900,bandar tun abdul razak,pahang,wikipedia,
27000,jerantut,pahang,wikipedia,
27010,jerantut,pahang,wikipedia,
27020,jerantut,pahang,wikipedia,
27030,jerantut,pahang,wikipedia,
27040,jerantut,pahang,wikipedia,
27050,jerantut,pahang,wikipedia,
27060,jerantut,pahang,wikipedia,
27070,jerantut,pahang,wikipedia,
27090,jerantut,pahang,wikipedia,
27100,padang tengku,pahang,wikipedia,
27150,jerantut,pahang,wikipedia,
27200,kuala lipis,pahang,wikipedia,
27210,kuala lipis,pahang,wikipedia,
27300,benta,pahang,wikipedia,
27310,benta,pahang,wikipedia,
27400,dong,pahang,wikipedia,
27600,raub,pahang,wikipedia,
27610,raub,pahang,wikipedia,
27620,raub,pahang,wikipedia,
27630,raub,pahang,wikipedia,
27650,sungai koyan,pahang,wikipedia,
27660,sega,pahang,wikipedia,
27670,raub,pahang,wikipedia,
28000,temerloh,pahang,wikipedia,
28010,temerloh,pahang,wikipedia,
28020,temerloh,pahang,wikipedia,
28030,temerloh,pahang,wikipedia,
28040,temerloh,pahang,wikipedia,
28050,kuala krau,pahang,wikipedia,
28100,chenor,pahang,wikipedia,
28200,bandar bera,pahang,wikipedia,
28300,triang,pahang,wikipedia,
28310,triang,pahang,wikipedia,
28320,triang,pahang,wikipedia,
28330,triang,pahang,wikipedia,
28340,kemayan,pahang,wikipedia,
28380,kemayan,pahang,wikipedia,
28400,mentakab,pahang,wikipedia,
28500,lanchang,pahang,wikipedia,
28600,karak,pahang,wikipedia,
28610,karak,pahang,wikipedia,
28620,karak,pahang,wikipedia,
28700,bentong,pahang,wikipedia,
28730,bentong,pahang,wikipedia,
28740,bentong,pahang,wikipedia,
28750,bentong,pahang,wikipedia,
28800,lurah bilut,pahang,wikipedia,
39000,tanah rata,pahang,wikipedia,
39010,tanah rata,pahang,wikipedia,
39100,brinchang,pahang,wikipedia,
39200,ringlet,pahang,wikipedia,
49000,bukit fraser,pahang,wikipedia,
69000,genting highlands,pahang,wikipedia,
30000,ipoh,perak,wikipedia,09-02-2024
30010,ipoh,perak,wikipedia,
30020,ipoh,perak,wikipedia,
30100,ipoh,perak,wikipedia,
30200,ipoh,perak,wikipedia,
30250,ipoh,perak,wikipedia,
30300,ipoh,perak,wikipedia,
30350,ipoh,perak,wikipedia,
30450,ipoh,perak,wikipedia,
31000,batu gajah,perak,wikipedia,
31050,sungai siput,perak,wikipedia,
31100,sungai siput,perak,wikipedia,
31150,ulu kinta,perak,wikipedia,
31200,chemor,perak,wikipedia,
31250,tanjong rambutan,perak,wikipedia,
31300,kampung kepayang,perak,wikipedia,
31350,"ipoh jaya, gunung rapat",perak,wikipedia,
31400,"bercham, tasek, ampang, tambun",perak,wikipedia,
31450,"bukit kledang, menglembu",perak,wikipedia,
31500,"lahat, pengkalan pegoh",perak,wikipedia,
31550,pusing,perak,wikipedia,
31560,pusing,perak,wikipedia,
31600,gopeng,perak,wikipedia,
31610,gopeng,perak,wikipedia,
31650,ipoh,perak,wikipedia,
31700,malim nawar,perak,wikipedia,
31750,tronoh,perak,wikipedia,
31800,tanjong tualang,perak,wikipedia,
31850,jeram,perak,wikipedia,
31900,kampar,perak,wikipedia,
31910,kampar,perak,wikipedia,
31920,mambang di awan,perak,wikipedia,
31950,mambang di awan,perak,wikipedia,
32000,sitiawan,perak,wikipedia,
32040,seri manjong,perak,wikipedia,
32100,lumut,perak,wikipedia,
32200,lumut,perak,wikipedia,
32300,pangkor,perak,wikipedia,
32400,ayer tawar,perak,wikipedia,
32500,changkat keruing,perak,wikipedia,
32600,bota,perak,wikipedia,
32610,seri iskandar,perak,wikipedia,
32700,bruas,perak,wikipedia,
32800,parit,perak,wikipedia,
32900,lambor kanan,perak,wikipedia,
33000,kuala kangsar,perak,wikipedia,
33010,kuala kangsar,perak,wikipedia,
33020,kuala kangsar,perak,wikipedia,
33030,kuala kangsar,perak,wikipedia,
33040,kuala kangsar,perak,wikipedia,
33100,pengkalan hulu,perak,wikipedia,
33200,intan,perak,wikipedia,
33300,gerik,perak,wikipedia,
33310,gerik,perak,wikipedia,
33320,gerik,perak,wikipedia,
33400,lenggong,perak,wikipedia,
33410,lenggong,perak,wikipedia,
33420,lenggong,perak,wikipedia,
33500,sauk,perak,wikipedia,
33600,enggor,perak,wikipedia,
33700,padang rengas,perak,wikipedia,
33800,manong,perak,wikipedia,
34000,taiping,perak,wikipedia,
34010,taiping,perak,wikipedia,
34020,taiping,perak,wikipedia,
34030,taiping,perak,wikipedia,
34100,selama,perak,wikipedia,
34120,selama,perak,wikipedia,
34130,selama,perak,wikipedia,
34140,rantau panjang,perak,wikipedia,
34200,parit buntar,perak,wikipedia,
34250,tanjong piandang,perak,wikipedia,
34300,bagan serai,perak,wikipedia,
34310,bagan serai,perak,wikipedia,
34350,kuala kurau,perak,wikipedia,
34400,simpang ampat semanggol,perak,wikipedia,
34500,batu kurau,perak,wikipedia,
34510,batu kurau,perak,wikipedia,
34520,batu kurau,perak,wikipedia,
34600,kamunting,perak,wikipedia,
34650,kuala sepetang,perak,wikipedia,
34700,simpang,perak,wikipedia,
34750,matang,perak,wikipedia,
34800,trong,perak,wikipedia,
34850,changkat jering,perak,wikipedia,
34900,pantai remis,perak,wikipedia,
35000,tapah,perak,wikipedia,
35300,chenderiang,perak,wikipedia,
35350,temoh,perak,wikipedia,
35400,tapah road,perak,wikipedia,
35500,bidor,perak,wikipedia,
35600,sungkai,perak,wikipedia,
35700,trolak,perak,wikipedia,
35800,slim river,perak,wikipedia,
35820,slim river,perak,wikipedia,
35900,tanjong malim,perak,wikipedia,
35910,tanjong malim,perak,wikipedia,
35950,behrang stesen,perak,wikipedia,
36000,teluk intan,perak,wikipedia,
36010,teluk intan,perak,wikipedia,
36020,teluk intan,perak,wikipedia,
36030,teluk intan,perak,wikipedia,
36100,bagan datoh,perak,wikipedia,
36110,teluk intan,perak,wikipedia,
36200,selekoh,perak,wikipedia,
36300,sungai sumun,perak,wikipedia,
36400,hutan melintang,perak,wikipedia,
36500,ulu bernam,perak,wikipedia,
36600,chenderong balai,perak,wikipedia,
36700,langkap,perak,wikipedia,
36750,chikus,perak,wikipedia,
36800,kampung gajah,perak,wikipedia,
36810,kampung gajah,perak,wikipedia,
40000,shah alam,selangor,wikipedia,
40100,shah alam,selangor,wikipedia,
40150,shah alam,selangor,wikipedia,
40160,shah alam,selangor,wikipedia,
40170,shah alam,selangor,wikipedia,
40200,shah alam,selangor,wikipedia,
40300,shah alam,selangor,wikipedia,
40400,shah alam,selangor,wikipedia,
40450,shah alam,selangor,wikipedia,
40460,shah alam,selangor,wikipedia,
40470,shah alam,selangor,wikipedia,
41000,klang,selangor,wikipedia,
41050,klang,selangor,wikipedia,
41100,klang,selangor,wikipedia,
41150,klang,selangor,wikipedia,
41200,klang,selangor,wikipedia,
41250,klang,selangor,wikipedia,
41300,klang,selangor,wikipedia,
41400,klang,selangor,wikipedia,
42000,pelabuhan klang,selangor,wikipedia,
42100,klang,selangor,wikipedia,
42200,kapar,selangor,wikipedia,
42300,bandar puncak alam,selangor,wikipedia,
42500,telok panglima garang,selangor,wikipedia,
42600,jenjarom,selangor,wikipedia,
42610,jenjarom,selangor,wikipedia,
42700,banting,selangor,wikipedia,
42800,tanjong sepat,selangor,wikipedia,
42920,pulau indah,selangor,wikipedia,
42940,pulau ketam,selangor,wikipedia,
42960,pulau carey,selangor,wikipedia,
43000,kajang,selangor,wikipedia,
43100,hulu langat,selangor,wikipedia,
43200,cheras,selangor,wikipedia,
43300,seri kembangan,selangor,wikipedia,
43400,serdang,selangor,wikipedia,
43500,semenyih,selangor,wikipedia,
43600,bangi,selangor,wikipedia,
43650,bandar baru bangi,selangor,wikipedia,
43700,beranang,selangor,wikipedia,
43800,dengkil,selangor,wikipedia,
43900,sepang,selangor,wikipedia,
43950,sungai pelek,selangor,wikipedia,
44000,kuala kubu baru,selangor,wikipedia,
44010,kuala kubu baru,selangor,wikipedia,
44020,kuala kubu baru,selangor,wikipedia,
44100,kerling,selangor,wikipedia,
44110,kuala kubu baru,selangor,wikipedia,
44200,rasa,selangor,wikipedia,
44300,batang kali,selangor,wikipedia,
45000,kuala selangor,selangor,wikipedia,
45100,sungai ayer tawar,selangor,wikipedia,
45200,sabak bernam,selangor,wikipedia,
45300,sungai besar,selangor,wikipedia,
45400,sekinchan,selangor,wikipedia,
45500,tanjong karang,selangor,wikipedia,
45600,bestari jaya,selangor,wikipedia,
45609,bestari jaya,selangor,wikipedia,
45620,bestari jaya,selangor,wikipedia,
45700,bukit rotan,selangor,wikipedia,
45800,jeram,selangor,wikipedia,
46000,petaling jaya,selangor,wikipedia,
46050,petaling jaya,selangor,wikipedia,
46100,petaling jaya,selangor,wikipedia,
46150,petaling jaya,selangor,wikipedia,
46200,petaling jaya,selangor,wikipedia,
46300,petaling jaya,selangor,wikipedia,
46350,petaling jaya,selangor,wikipedia,
46400,petaling jaya,selangor,wikipedia,
47000,sungai buloh,selangor,wikipedia,
47100,puchong,selangor,wikipedia,
47110,puchong,selangor,wikipedia,
47120,puchong,selangor,wikipedia,
47130,puchong,selangor,wikipedia,
47140,puchong,selangor,wikipedia,
47150,puchong,selangor,wikipedia,
47160,puchong,selangor,wikipedia,
47170,puchong,selangor,wikipedia,
47180,puchong,selangor,wikipedia,
47190,puchong,selangor,wikipedia,
47200,subang airport,selangor,wikipedia,
47300,petaling jaya,selangor,wikipedia,
47301,petaling jaya,selangor,wikipedia,
47308,petaling jaya,selangor,wikipedia,
47400,petaling jaya,selangor,wikipedia,
47410,petaling jaya,selangor,wikipedia,
47500,subang jaya,selangor,wikipedia,
47600,subang jaya,selangor,wikipedia,
47610,subang jaya,selangor,wikipedia,
47620,subang jaya,selangor,wikipedia,
47630,subang jaya,selangor,wikipedia,
47640,subang jaya,selangor,wikipedia,
47800,petaling jaya,selangor,wikipedia,
47810,petaling jaya,selangor,wikipedia,
47820,petaling jaya,selangor,wikipedia,
47830,petaling jaya,selangor,wikipedia,
48000,rawang,selangor,wikipedia,
48010,rawang,selangor,wikipedia,
48020,rawang,selangor,wikipedia,
48050,rawang,selangor,wikipedia,
48100,batu arang,selangor,wikipedia,
48200,serendah,selangor,wikipedia,
48300,rawang,selangor,wikipedia,
63000,cyberjaya,selangor,wikipedia,
63100,cyberjaya,selangor,wikipedia,
63200,cyberjaya,selangor,wikipedia,
63300,cyberjaya,selangor,wikipedia,
64000,klia,selangor,wikipedia,
68000,ampang,selangor,wikipedia,
68100,batu caves,selangor,wikipedia,
50000,bukit bintang,kualalumpur,wikipedia,
50050,bukit bintang,kualalumpur,wikipedia,
50088,bukit bintang,kualalumpur,wikipedia,
50100,bukit bintang,kualalumpur,wikipedia,
50150,bukit bintang,kualalumpur,wikipedia,
50200,bukit bintang,kualalumpur,wikipedia,
50250,bukit bintang,kualalumpur,wikipedia,
50300,titiwangsa,kualalumpur,wikipedia,
50350,bukit bintang,kualalumpur,wikipedia,
50400,batu,kualalumpur,wikipedia,
50450,bukit bintang,kualalumpur,wikipedia,
50460,bukit bintang,kualalumpur,wikipedia,
50470,bukit bintang,kualalumpur,wikipedia,
50480,segambut,kualalumpur,wikipedia,
50490,segambut,kualalumpur,wikipedia,
51000,batu,kualalumpur,wikipedia,
52000,kepong,kualalumpur,wikipedia,
52100,kepong,kualalumpur,wikipedia,
52200,segambut,kualalumpur,wikipedia,
53000,wangsa maju,kualalumpur,wikipedia,
53100,wangsa maju,kualalumpur,wikipedia,
53200,titiwangsa,kualalumpur,wikipedia,
53300,wangsa maju,kualalumpur,wikipedia,
54000,titiwangsa,kualalumpur,wikipedia,
54100,setiawangsa,kualalumpur,wikipedia,
54200,setiawangsa,kualalumpur,wikipedia,
55000,titiwangsa,kualalumpur,wikipedia,
55100,titiwangsa,kualalumpur,wikipedia,
55200,cheras,kualalumpur,wikipedia,
55300,cheras,kualalumpur,wikipedia,
56000,bandar tun razak,kualalumpur,wikipedia,
56100,cheras,kualalumpur,wikipedia,
57000,seputeh,kualalumpur,wikipedia,
57100,bandar tun razak,kualalumpur,wikipedia,
58000,seputeh,kualalumpur,wikipedia,
58100,lembah pantai,kualalumpur,wikipedia,
58200,seputeh,kualalumpur,wikipedia,
59000,lembah pantai,kualalumpur,wikipedia,
59100,lembah pantai,kualalumpur,wikipedia,
59200,lembah pantai,kualalumpur,wikipedia,
60000,segambut,kualalumpur,wikipedia,
62000,presint 1 & 12,putrajaya,wikipedia,
62050,presint 14 & 15,putrajaya,wikipedia,
62100,presint 2-4 & 16-18,putrajaya,wikipedia,
62150,presint 5-6 & 19-20,putrajaya,wikipedia,
62250,presint 7-10,putrajaya,wikipedia,
62300,presint 11 & 13,putrajaya,wikipedia,
70000,seremban,negerisembilan,wikipedia,
70100,seremban,negerisembilan,wikipedia,
70200,seremban,negerisembilan,wikipedia,
70300,seremban,negerisembilan,wikipedia,
70400,seremban,negerisembilan,wikipedia,
70450,seremban,negerisembilan,wikipedia,
71000,port dickson,negerisembilan,wikipedia,
71010,port dickson,negerisembilan,wikipedia,
71050,si rusa,negerisembilan,wikipedia,
71100,rantau,negerisembilan,wikipedia,
71150,linggi,negerisembilan,wikipedia,
71200,rantau,negerisembilan,wikipedia,
71250,si rusa,negerisembilan,wikipedia,
71300,rembau,negerisembilan,wikipedia,
71350,kota,negerisembilan,wikipedia,
71400,rembau,negerisembilan,wikipedia,
71450,seremban,negerisembilan,wikipedia,
71500,tanjong ipoh,negerisembilan,wikipedia,
71550,tanjong ipoh,negerisembilan,wikipedia,
71600,kuala klawang,negerisembilan,wikipedia,
71650,kuala klawang,negerisembilan,wikipedia,
71700,mantin,negerisembilan,wikipedia,
71750,mantin,negerisembilan,wikipedia,
71760,bandar baru enstek,negerisembilan,wikipedia,
71770,seremban,negerisembilan,wikipedia,
71800,nilai,negerisembilan,wikipedia,
71900,labu,negerisembilan,wikipedia,
71950,bandar sri sendayan,negerisembilan,wikipedia,
71960,port dickson,negerisembilan,wikipedia,
72000,kuala pilah,negerisembilan,wikipedia,
72100,bahau,negerisembilan,wikipedia,
72120,bandar seri jempol,negerisembilan,wikipedia,
72200,batu kikir,negerisembilan,wikipedia,
72300,simpang pertang,negerisembilan,wikipedia,
72400,simpang durian,negerisembilan,wikipedia,
72500,kuala pilah,negerisembilan,wikipedia,
73000,tampin,negerisembilan,wikipedia,
73100,johol,negerisembilan,wikipedia,
73200,gemencheh,negerisembilan,wikipedia,
73300,gemencheh,negerisembilan,wikipedia,
73400,gemas,negerisembilan,wikipedia,
73420,gemas,negerisembilan,wikipedia,
73430,pusat bandar palong,negerisembilan,wikipedia,
73440,pusat bandar palong,negerisembilan,wikipedia,
73450,pusat bandar palong,negerisembilan,wikipedia,
73460,pusat bandar palong,negerisembilan,wikipedia,
73470,pusat bandar palong,negerisembilan,wikipedia,
73480,gemas,negerisembilan,wikipedia,
73500,rompin,negerisembilan,wikipedia,
75000,"banda hilir, melaka raya",melaka,wikipedia,
75050,"semabok, ujong pasir",melaka,wikipedia,
75100,kampung jawa,melaka,wikipedia,
75150,"bukit baru, bukit piatu",melaka,wikipedia,
75200,"klebang, tengkera, limbongan",melaka,wikipedia,
75250,"bachang, malim",melaka,wikipedia,
75260,"cheng, bukit rambai, tanjong minyak, krubong",melaka,wikipedia,
75300,pusat bandaraya,melaka,wikipedia,
75350,batu berendam,melaka,wikipedia,
75400,"peringgit, bukit palah",melaka,wikipedia,
75450,"ayer keroh, bukit beruang, bukit katil",melaka,wikipedia,
75460,"ayer molek, duyong, telok mas",melaka,wikipedia,
76100,durian tunggal,melaka,wikipedia,
76200,kem trendak,melaka,wikipedia,
76300,sungai udang,melaka,wikipedia,
76400,tanjong kling,melaka,wikipedia,
76450,"paya rumput, bertam",melaka,wikipedia,
77000,jasin,melaka,wikipedia,
77100,asahan,melaka,wikipedia,
77200,bemban,melaka,wikipedia,
77300,merlimau,melaka,wikipedia,
77400,sungai rambai,melaka,wikipedia,
77500,selandar,melaka,wikipedia,
78000,alor gajah,melaka,wikipedia,
78100,lubok china,melaka,wikipedia,
78200,kuala sungai baru,melaka,wikipedia,
78300,masjid tanah,melaka,wikipedia,
79000,iskandar puteri,johor,wikipedia,
79100,iskandar puteri,johor,wikipedia,
79150,iskandar puteri,johor,wikipedia,
79200,iskandar puteri,johor,wikipedia,
79250,iskandar puteri,johor,wikipedia,
79503,iskandar puteri,johor,wikipedia,
80000,johor bahru,johor,wikipedia,
80050,johor bahru,johor,wikipedia,
80100,johor bahru,johor,wikipedia,
80150,johor bahru,johor,wikipedia,
80200,johor bahru,johor,wikipedia,
80250,johor bahru,johor,wikipedia,
